A timetable slot must use the timetable section.,يجب أن يستخدم صف الجدول الفصل المحدد للجدول.,
Academic Curriculum,المنهج الدراسي,
Academic History,السجل الأكاديمي,
Academic Stages,المراحل الدراسية,
Academic Structure,الهيكل الأكاديمي,
Academic Year,السنة الدراسية,
Academic Year {0} does not exist.,السنة الدراسية {0} غير موجودة.,
Academic Years,السنوات الدراسية,
Active,نشط,
Add Student,إضافة طالب,
Assessments,التقييمات,
Assignment start date must be before the end date.,يجب أن يكون تاريخ بداية التعيين قبل تاريخ النهاية.,
Create an Enrollment for this student and Academic Year before recording results.,أنشئ تسجيلاً لهذا الطالب في السنة الدراسية قبل رصد النتائج.,
Create and activate an Academic Year before creating academic records.,أنشئ وفعّل سنة دراسية قبل إنشاء السجلات الأكاديمية.,
Curriculum start date must be before the end date.,يجب أن يكون تاريخ بداية المنهج قبل تاريخ النهاية.,
Daily Accomplishments,الإنجازات اليومية,
Disciplinary Actions,الإجراءات التأديبية,
EIMS Academic Curriculum,المنهج الدراسي,
EIMS Staff Academic Assignment,تعيين الكادر للسنة الدراسية,
End Date,تاريخ النهاية,
Enrollments,التسجيلات,
Guardians,أولياء الأمور,
Inactive,غير نشط,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
My Profile,ملفي الشخصي,
Nationalities,الجنسيات,
New Assessment,تقييم جديد,
Notes,ملاحظات,
On Leave,في إجازة,
Open School System,فتح نظام المدرسة,
People and Enrollment,الأفراد والتسجيل,
Reload,تحديث,
Requests,الطلبات,
Results,النتائج,
Role,الدور,
School Activities,الأنشطة المدرسية,
School Information,بيانات المدرسة,
School Operations,عمليات المدرسة,
Section,الجزء,
Sections,الفصول,
Session Defaults,الجلسة الافتراضية,
Staff Academic Assignments,تعيينات الكادر للسنة الدراسية,
Staff Attendance,حضور الكادر,
Staff Member,عضو الكادر,
Staff Name,اسم عضو الكادر,
Staff and Teachers,الكادر والمعلمون,
Staff member {0} is not assigned to the selected Academic Year.,عضو الكادر {0} غير معين في السنة الدراسية المحددة.,
Stage,المرحلة,
Stage Fees,رسوم المراحل,
Start Date,تاريخ البداية,
Status,الحالة,
Student,طالب,
Student Attendance,حضور الطلبة,
Student Operations,عمليات الطلبة,
Student Payments,دفعات الطلبة,
Student Records,سجل الطالب,
Student Report Card,بطاقة تقرير الطالب,
Student {0} is not enrolled in the selected Academic Year and section.,الطالب {0} غير مسجل في السنة الدراسية والفصل المحددين.,
Student {0} is not enrolled in the selected Academic Year.,الطالب {0} غير مسجل في السنة الدراسية المحددة.,
Students,الطلبة,
Subject,المادة,
Subject Name,اسم المادة,
Subject {0} is not active in the Academic Year curriculum for this stage.,المادة {0} غير مفعّلة في منهج هذه المرحلة للسنة الدراسية.,
Subjects,المواد الدراسية,
System Manager,مدير النظام,
Take Attendance,تسجيل الحضور,
Teacher Subject Assignments,تعيينات المعلمين للمواد,
"Teacher {0} is not assigned to the selected stage, section, and subject.",المعلم {0} غير مكلف بالمرحلة والفصل والمادة المحددة.,
The selected section does not belong to this stage.,الفصل المختار لا ينتمي إلى هذه المرحلة.,
The selected subject does not belong to this stage.,المادة المختارة لا تنتمي إلى هذه المرحلة.,
Timetables,الجداول الدراسية,
Title,المسمى الوظيفي,
View Website,مشاهدة الموقع,
⚙️ Administration and Finance,⚙️ الإدارة والمالية,
🌱 Student Welfare and Activities,🌱 رعاية الطلبة والأنشطة,
🎓 Suhool Al-Ilm School Management System,🎓 نظام إدارة مدرسة سهول العلم,
🏛️ Academic Structure,🏛️ الهيكل الأكاديمي,
👥 Students and Enrollment,👥 الطلبة والتسجيل,
